token,source,n_terms_with_token,n_category_terms,category_share,cat_best_rank_min,rep_category_terms
cards,4B_commemorated,1201,8,0.007,30553.0,index cards with ring | earring cards | rings for index cards
storage,4A_gift_X,1764,7,0.004,1780.0,jewelry organizers and storage | jewelry storage | earring storage
tassel,4B_commemorated,18,6,0.333,53972.0,graduation tassel photo charm | 2025 tassel charm | graduation memorial tassel charm
class,4A_gift_X,139,6,0.043,60514.0,graduation necklace class of 2025 | class rings for women high school | class rings for women
cool,4A_gift_X,357,6,0.017,3961.0,cool maker bracelet maker | cool maker stack d heishi bracelet studio | cool bracelet maker
teacher,4A_gift_X,425,6,0.014,19763.0,teacher earrings | teacher bracelet | teacher earrings for women
candle,4B_commemorated,513,6,0.012,40629.0,christmas candle rings | fall candle rings | candle rings
cleaning,4A_gift_X,565,6,0.011,19662.0,ultrasonic jewelry cleaner cleaning machine | ultrasonic jewelry cleaner cleaning | motorcycle chain cleaning kit
school,4A_gift_X,881,6,0.007,91576.0,first day of school bracelet | class rings for women high school | back to school bracelets
kitchen,4A_gift_X,1560,6,0.004,8814.0,pendant lights kitchen island | kitchen pendant lighting over island | kitchen pendant lights
pool,4A_gift_X,1550,6,0.004,58153.0,pool rings | inflatable pool ring | pool rings for kids diving
car,4A_gift_X,2570,6,0.002,13720.0,snow chains for car tires | car key chain | key rings for car keys
iphone,4A_gift_X,2826,6,0.002,50466.0,scrolling ring for iphone | iphone magnetic ring | iphone ring holder grip
breast,4B_commemorated,232,5,0.022,30576.0,breast cancer bracelets | breast cancer awareness bracelets | breast cancer earrings
happy,4B_commemorated,420,5,0.012,121946.0,happy tappers slap bracelet | happy yappy slap bracelet | happy new year earrings
life,4B_commemorated,609,5,0.008,62940.0,groove life ring | tree of life necklace | life preserver ring
dogs,4A_gift_X,1312,5,0.004,66172.0,bell for dogs to ring to go potty | choker collar for dogs | furlife flea and tick pendant for dogs
christmas tree,4A_gift_X,1339,5,0.004,40714.0,christmas tree earrings | christmas tree earrings for women | christmas tree lights with ring
shower,4A_gift_X,1598,5,0.003,3949.0,shower curtain rings | shower rings | shower rings for curtain
god,4B_commemorated,207,4,0.019,46644.0,god is first i am second bracelet | god is in control bracelet | god is in control bracelet for women
stone,4B_commemorated,239,4,0.017,96140.0,birth stone necklace women | birth stone ring for women | stone beads for jewelry making
weight loss,4A_gift_X,274,4,0.015,33957.0,hula hoops for adults weight loss | calmi rings for women magnetic weight loss | slimming earrings for weight loss
crafts,4A_gift_X,312,4,0.013,127015.0,christmas charms for crafts | wooden rings for crafts | charms for crafts
ceiling,4B_commemorated,297,4,0.013,24637.0,ceiling fan pull chain | ceiling fan pull chain extender | ceiling fan chain extenders
loss,4B_commemorated,337,4,0.012,33957.0,hula hoops for adults weight loss | calmi rings for women magnetic weight loss | slimming earrings for weight loss
human,4B_commemorated,587,4,0.007,24960.0,ultra human ring | ash necklace for human ashes | ultra human ring air
fire,4B_commemorated,631,4,0.006,36632.0,fire pit ring | fire ring | ring of fire
game,4B_commemorated,1613,4,0.002,70130.0,triangle chain strategy board game | hook and ring game | chain link game
urn,4B_commemorated,25,3,0.12,19290.0,urn necklaces for ashes | urn necklace | urn necklaces for ashes for women
princess,4B_commemorated,344,3,0.009,101953.0,princess jewelry | princess cut engagement ring | barbie princess charm school costume
american,4B_commemorated,414,3,0.007,110411.0,american flag earrings | native american jewelry | american flag earrings for women
pocket,4B_commemorated,428,3,0.007,51596.0,pocket watch with chain | pocket chain | stake pocket d ring
ps5,4B_commemorated,475,3,0.006,13386.0,precision rings ps5 | elden ring ps5 | elden ring nightreign ps5
flag,4B_commemorated,494,3,0.006,65758.0,flag pole rings | american flag earrings | american flag earrings for women
shirt,4B_commemorated,3196,3,0.001,18327.0,lucky charms shirt | alice in chains shirt | elden ring shirt
black women,4A_gift_X,74,2,0.027,137670.0,loc jewelry for black women | african earrings for black women
five,4B_commemorated,148,2,0.014,76816.0,the book of five rings | book of five rings
usa,4B_commemorated,155,2,0.013,113068.0,usa earrings | usa earrings for women
days,4B_commemorated,195,2,0.01,35624.0,dont let the hard days win bracelet | don't let the hard days win bracelet
bride,4A_gift_X,242,2,0.008,111598.0,bride earrings | tiff necklace bride of chucky
outside,4A_gift_X,501,2,0.004,30519.0,rain chains for outside | fire ring for outside fire pit
boy,4A_gift_X,1299,2,0.002,125268.0,soulja boy chain | boy croc charms
garden,4A_gift_X,868,2,0.002,43680.0,garden hoops | garden hoops for raised beds
home,4A_gift_X,1367,2,0.001,126556.0,blood pressure cuffs for home use | jewelry safes for home
hat,4B_commemorated,1590,2,0.001,160180.0,hat chains | trucker hat chains
outdoor,4B_commemorated,3447,2,0.001,82020.0,in ground basketball hoops outdoor | outdoor pendant light
urns,4B_commemorated,18,1,0.056,191893.0,necklace urns for human ashes
loved,4B_commemorated,28,1,0.036,107897.0,necklace for ashes of loved one
home use,4A_gift_X,47,1,0.021,126556.0,blood pressure cuffs for home use
humans,4A_gift_X,59,1,0.017,98174.0,ring worm medication for humans
girlfriend,4B_commemorated,59,1,0.017,71587.0,necklace for girlfriend
boyfriend,4A_gift_X,70,1,0.014,158630.0,bracelet for boyfriend
appreciation,4A_gift_X,86,1,0.012,192349.0,teacher appreciation key chains
women sexy,4A_gift_X,81,1,0.012,192207.0,body jewelry for women sexy
anniversary,4A_gift_X,103,1,0.01,179820.0,anniversary rings for women
curly hair,4A_gift_X,118,1,0.008,110462.0,puff cuff for curly hair
elephant,4A_gift_X,205,1,0.005,177057.0,elephant necklace
babies,4A_gift_X,189,1,0.005,178116.0,amber necklace for babies teething
edition,4B_commemorated,199,1,0.005,40565.0,fellowship of the ring extended edition
cars,4A_gift_X,267,1,0.004,61222.0,tire chains for cars
closet,4A_gift_X,253,1,0.004,173918.0,hanging jewelry organizer for closet
wars,4B_commemorated,254,1,0.004,114713.0,star wars earrings
baking,4A_gift_X,376,1,0.003,132626.0,cookie rings for baking
yard,4A_gift_X,311,1,0.003,55763.0,dog chain for yard
napkins,4B_commemorated,294,1,0.003,134530.0,napkins rings
merch,4B_commemorated,358,1,0.003,35357.0,elden ring merch
bedroom,4A_gift_X,665,1,0.002,64545.0,hand cuff set for adults bedroom
classroom,4A_gift_X,548,1,0.002,93814.0,birthday bracelets for classroom
plants,4A_gift_X,501,1,0.002,128782.0,chain for hanging plants
work,4A_gift_X,660,1,0.002,124022.0,work harder be better bracelet
patio,4A_gift_X,534,1,0.002,159370.0,patio table umbrella hole ring
sleep,4A_gift_X,446,1,0.002,193324.0,sleep ring
pet,4B_commemorated,604,1,0.002,91412.0,ring pet tag
bathroom,4A_gift_X,1139,1,0.001,120462.0,towel rings for bathroom wall
house,4A_gift_X,945,1,0.001,67067.0,house of chains
table,4A_gift_X,1852,1,0.001,159370.0,patio table umbrella hole ring
shirts,4B_commemorated,2194,1,0.0,70440.0,french cuff dress shirts for men
toys,4B_commemorated,2342,1,0.0,103284.0,metal brain teaser puzzles ring educational toys
dress,4B_commemorated,3840,1,0.0,70440.0,french cuff dress shirts for men
living room,4A_gift_X,416,0,0.0,,
face,4A_gift_X,1595,0,0.0,,
cats,4A_gift_X,364,0,0.0,,
toddlers,4A_gift_X,636,0,0.0,,
amazon,4A_gift_X,888,0,0.0,,
seniors,4A_gift_X,160,0,0.0,,
cooking,4A_gift_X,317,0,0.0,,
desk,4A_gift_X,1176,0,0.0,,
sleeping,4A_gift_X,290,0,0.0,,
large dogs,4A_gift_X,120,0,0.0,,
clothes,4A_gift_X,1234,0,0.0,,
food,4A_gift_X,1511,0,0.0,,
camping,4A_gift_X,486,0,0.0,,
small dogs,4A_gift_X,105,0,0.0,,
bed,4A_gift_X,1803,0,0.0,,
windows,4A_gift_X,215,0,0.0,,
winter,4A_gift_X,1143,0,0.0,,
front door,4A_gift_X,163,0,0.0,,
outdoors,4A_gift_X,122,0,0.0,,
skin,4A_gift_X,792,0,0.0,,
hair growth,4A_gift_X,255,0,0.0,,
women summer,4A_gift_X,99,0,0.0,,
planting,4A_gift_X,109,0,0.0,,
women dressy,4A_gift_X,105,0,0.0,,
dorm,4A_gift_X,287,0,0.0,,
party,4A_gift_X,1317,0,0.0,,
family,4A_gift_X,588,0,0.0,,
teachers,4A_gift_X,91,0,0.0,,
older women,4A_gift_X,68,0,0.0,,
fridge,4A_gift_X,303,0,0.0,,
indoor use,4A_gift_X,71,0,0.0,,
beginners,4A_gift_X,78,0,0.0,,
toddler girls,4A_gift_X,79,0,0.0,,
office,4A_gift_X,499,0,0.0,,
laptop,4A_gift_X,583,0,0.0,,
indoor cats,4A_gift_X,62,0,0.0,,
curvy women,4A_gift_X,57,0,0.0,,
outdoor plants,4A_gift_X,64,0,0.0,,
couch,4A_gift_X,437,0,0.0,,
indoor plants,4A_gift_X,63,0,0.0,,
teen boys,4A_gift_X,65,0,0.0,,
feet,4A_gift_X,215,0,0.0,,
coffee,4A_gift_X,1720,0,0.0,,
kids classroom,4A_gift_X,45,0,0.0,,
lawn,4A_gift_X,314,0,0.0,,
cash,4A_gift_X,105,0,0.0,,
small spaces,4A_gift_X,46,0,0.0,,
lawns,4A_gift_X,43,0,0.0,,
coworkers,4A_gift_X,56,0,0.0,,
painting,4A_gift_X,175,0,0.0,,
women winter,4A_gift_X,56,0,0.0,,
entryway,4A_gift_X,94,0,0.0,,
room,4A_gift_X,1031,0,0.0,,
students,4A_gift_X,64,0,0.0,,
tables,4A_gift_X,230,0,0.0,,
elderly,4A_gift_X,70,0,0.0,,
truck,4A_gift_X,316,0,0.0,,
hunting,4A_gift_X,251,0,0.0,,
refrigerator,4A_gift_X,165,0,0.0,,
backyard,4A_gift_X,97,0,0.0,,
cabinets,4A_gift_X,126,0,0.0,,
porch,4A_gift_X,207,0,0.0,,
50th,4B_commemorated,30,0,0.0,,
250th,4B_commemorated,10,0,0.0,,
decorations,4B_commemorated,2414,0,0.0,,
card,4B_commemorated,1988,0,0.0,,
25th,4B_commemorated,15,0,0.0,,
blanket,4B_commemorated,1236,0,0.0,,
30th,4B_commemorated,19,0,0.0,,
monthly,4B_commemorated,76,0,0.0,,
ornaments,4B_commemorated,843,0,0.0,,
40th,4B_commemorated,15,0,0.0,,
signs,4B_commemorated,162,0,0.0,,
ornament,4B_commemorated,435,0,0.0,,
20th,4B_commemorated,6,0,0.0,,
last,4B_commemorated,353,0,0.0,,
hallmark,4B_commemorated,30,0,0.0,,
jaws,4B_commemorated,23,0,0.0,,
controller,4B_commemorated,369,0,0.0,,
guest,4B_commemorated,312,0,0.0,,
decor,4B_commemorated,1929,0,0.0,,
winning,4B_commemorated,9,0,0.0,,
cake,4B_commemorated,494,0,0.0,,
60th,4B_commemorated,14,0,0.0,,
service,4B_commemorated,40,0,0.0,,
stickers,4B_commemorated,860,0,0.0,,
ideas,4B_commemorated,232,0,0.0,,
250,4B_commemorated,21,0,0.0,,
ghostface,4B_commemorated,33,0,0.0,,
topper,4B_commemorated,504,0,0.0,,
acm,4B_commemorated,17,0,0.0,,
flowers,4B_commemorated,441,0,0.0,,
corps,4B_commemorated,11,0,0.0,,
marine,4B_commemorated,79,0,0.0,,
cruise,4B_commemorated,121,0,0.0,,
wind,4B_commemorated,117,0,0.0,,
chimes,4B_commemorated,31,0,0.0,,
plates,4B_commemorated,573,0,0.0,,
sales,4B_commemorated,40,0,0.0,,
collection,4B_commemorated,171,0,0.0,,
banner,4B_commemorated,178,0,0.0,,
were,4B_commemorated,58,0,0.0,,
wish,4B_commemorated,53,0,0.0,,
here,4B_commemorated,107,0,0.0,,
twilight,4B_commemorated,50,0,0.0,,
japan,4B_commemorated,18,0,0.0,,
1st,4B_commemorated,90,0,0.0,,
funeral,4B_commemorated,25,0,0.0,,
club,4B_commemorated,310,0,0.0,,
cma,4B_commemorated,4,0,0.0,,
designated,4B_commemorated,1,0,0.0,,
claymation,4B_commemorated,3,0,0.0,,
nuit,4B_commemorated,28,0,0.0,,
bet,4B_commemorated,13,0,0.0,,
discipline,4B_commemorated,6,0,0.0,,
foster,4B_commemorated,16,0,0.0,,
richard,4B_commemorated,37,0,0.0,,
future,4B_commemorated,28,0,0.0,,
badass,4B_commemorated,6,0,0.0,,
duets,4B_commemorated,2,0,0.0,,
bocelli,4B_commemorated,3,0,0.0,,
amy,4B_commemorated,44,0,0.0,,
music,4B_commemorated,211,0,0.0,,
america,4B_commemorated,114,0,0.0,,
certificates,4B_commemorated,8,0,0.0,,
army,4B_commemorated,73,0,0.0,,
ribbons,4B_commemorated,16,0,0.0,,
movies,4B_commemorated,508,0,0.0,,
station,4B_commemorated,297,0,0.0,,
andrea,4B_commemorated,13,0,0.0,,
made,4B_commemorated,146,0,0.0,,
idea,4B_commemorated,24,0,0.0,,
merchandise,4B_commemorated,88,0,0.0,,
flags,4B_commemorated,128,0,0.0,,
grave,4B_commemorated,36,0,0.0,,
trunk,4B_commemorated,98,0,0.0,,
line,4B_commemorated,236,0,0.0,,
lone,4B_commemorated,15,0,0.0,,
jedi,4B_commemorated,18,0,0.0,,
lids,4B_commemorated,501,0,0.0,,
